kubectl get pods  -l project=practice -A
NAMESPACE               NAME     READY   STATUS    RESTARTS   AGE
exam-davron             nginx1   1/1     Running   0          40m
exam-davron             nginx2   1/1     Running   0          40m
exam-dilshod-xolmatov   ngin1    1/1     Running   0          11m
exam-dilshod-xolmatov   ngin2    1/1     Running   0          11m
exam-kodirovr           nginx1   1/1     Running   0          42m
exam-kodirovr           nginx2   1/1     Running   0          41m
exam-maxmudov           nginx1   1/1     Running   0          9m31s
exam-maxmudov           nginx2   1/1     Running   0          8m39s
exam-ravshan            nginx1   1/1     Running   0          17m
exam-ravshan            nginx2   1/1     Running   0          17m
exam-xotam              nginx1   1/1     Running   0          29m
exam-xotam              nginx2   1/1     Running   0          29m
exam-xurshid            nginx1   1/1     Running   0          8m6s
exam-xurshid            nginx2   1/1     Running   0          8m6s
